metabolite	uloq	lloq	value	date	time_pretty	location	below_lloq	above_uloq	extraction	machine	metabolite_group
Phentermine	5.0	0.05		FB08SEP18	10:30	1			austin	Shimadzu	Anorectic
Meprobamate	20.0	0.5		FB08SEP18	10:30	1			austin	Shimadzu	Anxiolytic
7-Aminoclonazepam	5.0	0.05		FB08SEP18	10:30	1			austin	Shimadzu	Benzodiazepine
7-Aminoflunitrazepam	5.0	0.05		FB08SEP18	10:30	1			austin	Shimadzu	Benzodiazepine
α-Hydroxyalprazolam	20.0	0.05		FB08SEP18	10:30	1			austin	Shimadzu	Benzodiazepine
α-Hydroxytriazolam	20.0	0.05		FB08SEP18	10:30	1			austin	Shimadzu	Benzodiazepine
Alprazolam	20.0	0.05		FB08SEP18	10:30	1			austin	Shimadzu	Benzodiazepine
Desalkylflurazepam	2.5	0.05		FB08SEP18	10:30	1			austin	Shimadzu	Benzodiazepine
Diazepam	5.0	0.05		FB08SEP18	10:30	1			austin	Shimadzu	Benzodiazepine
Flurazepam	20.0	1.25		FB08SEP18	10:30	1			austin	Shimadzu	Benzodiazepine
Lorazepam	20.0	0.05		FB08SEP18	10:30	1			austin	Shimadzu	Benzodiazepine
Midazolam	20.0	0.5		FB08SEP18	10:30	1			austin	Shimadzu	Benzodiazepine
Nordiazepam	20.0	0.05		FB08SEP18	10:30	1			austin	Shimadzu	Benzodiazepine
Oxazepam	2.5	0.05		FB08SEP18	10:30	1			austin	Shimadzu	Benzodiazepine
Temazepam	20.0	0.05		FB08SEP18	10:30	1			austin	Shimadzu	Benzodiazepine
Pseudoephedrine	20.0	0.05		FB08SEP18	10:30	1			austin	Shimadzu	Decongestant
Flunitrazepam	5.0	0.05		FB08SEP18	10:30	1			austin	Shimadzu	Hynotics
Carisoprodol	10.0	0.05		FB08SEP18	10:30	1			austin	Shimadzu	Muscle Relaxant
Cyclobenzaprine	20.0	1.25		FB08SEP18	10:30	1			austin	Shimadzu	Muscle Relaxant
6-MAM	5.0	0.05		FB08SEP18	10:30	1			austin	Shimadzu	Narcotic
Carfentanil	10.0	0.75		FB08SEP18	10:30	1			austin	Shimadzu	Narcotic
Codeine	20.0	0.05	0.157	FB08SEP18	10:30	1	0.0	0.0	austin	Shimadzu	Narcotic
EDDP	10.0	0.75		FB08SEP18	10:30	1			austin	Shimadzu	Narcotic
Fentanyl	20.0	0.5		FB08SEP18	10:30	1			austin	Shimadzu	Narcotic
Morphine	20.0	0.05		FB08SEP18	10:30	1			austin	Shimadzu	Narcotic
Naloxone	5.0	0.05		FB08SEP18	10:30	1			austin	Shimadzu	Narcotic
Norbuprenorphine	10.0	0.05		FB08SEP18	10:30	1			austin	Shimadzu	Narcotic
Norcarfentanil	10.0	0.05		FB08SEP18	10:30	1			austin	Shimadzu	Narcotic
Norfentanyl	5.0	0.05		FB08SEP18	10:30	1			austin	Shimadzu	Narcotic
Norhydrocodone	5.0	0.05		FB08SEP18	10:30	1			austin	Shimadzu	Narcotic
Normeperidine	20.0	0.5		FB08SEP18	10:30	1			austin	Shimadzu	Narcotic
Noroxycodone	5.0	0.05		FB08SEP18	10:30	1			austin	Shimadzu	Narcotic
O-Desmethyltramadol	10.0	0.5		FB08SEP18	10:30	1			austin	Shimadzu	Narcotic
Oxycodone	20.0	0.05		FB08SEP18	10:30	1			austin	Shimadzu	Narcotic
Oxymorphone	20.0	0.05		FB08SEP18	10:30	1			austin	Shimadzu	Narcotic
Sufentanil	10.0	0.5		FB08SEP18	10:30	1			austin	Shimadzu	Narcotic
Tapentadol	20.0	0.05		FB08SEP18	10:30	1			austin	Shimadzu	Narcotic
Tramadol	20.0	0.05	5.185	FB08SEP18	10:30	1	0.0	1.0	austin	Shimadzu	Narcotic
Buprenorphine	20.0	0.75		FB08SEP18	10:30	1			austin	Shimadzu	Opioid
Hydrocodone	2.5	0.05	0.055	FB08SEP18	10:30	1	0.0	0.0	austin	Shimadzu	Opioid
Hydromorphone	20.0	0.5		FB08SEP18	10:30	1			austin	Shimadzu	Opioid
Meperidine	20.0	0.5		FB08SEP18	10:30	1			austin	Shimadzu	Opioid
Methadone	20.0	2.5		FB08SEP18	10:30	1			austin	Shimadzu	Opioid
Naltrexone	5.0	0.05		FB08SEP18	10:30	1			austin	Shimadzu	Opioid
Trazodone	20.0	0.5		FB08SEP18	10:30	1			austin	Shimadzu	Sedative
Triazolam	20.0	0.5		FB08SEP18	10:30	1			austin	Shimadzu	Sedative
Zolpidem	20.0	0.5		FB08SEP18	10:30	1			austin	Shimadzu	Sedative
Amphetamine	5.0	0.05	0.267	FB08SEP18	10:30	1	0.0	0.0	austin	Shimadzu	Stimulant
Benzoylecgonine	20.0	0.05	2.426	FB08SEP18	10:30	1	0.0	0.0	austin	Shimadzu	Stimulant
Cocaine	20.0	0.15		FB08SEP18	10:30	1			austin	Shimadzu	Stimulant
MDMA	10.0	0.05		FB08SEP18	10:30	1			austin	Shimadzu	Stimulant
Methamphetamine	20.0	0.15		FB08SEP18	10:30	1			austin	Shimadzu	Stimulant
Methylphenidate	5.0	0.05		FB08SEP18	10:30	1			austin	Shimadzu	Stimulant
Propoxyphene	20.0	0.5		FB08SEP18	10:30	2			austin	Shimadzu	Analgesic
Ketamine	10.0	0.05		FB08SEP18	10:30	2			austin	Shimadzu	Anesthetic
PCP	20.0	0.5		FB08SEP18	10:30	2			austin	Shimadzu	Anesthetic
Phentermine	5.0	0.05		FB08SEP18	10:30	2			austin	Shimadzu	Anorectic
Meprobamate	20.0	0.5		FB08SEP18	10:30	2			austin	Shimadzu	Anxiolytic
7-Aminoclonazepam	5.0	0.05		FB08SEP18	10:30	2			austin	Shimadzu	Benzodiazepine
7-Aminoflunitrazepam	5.0	0.05		FB08SEP18	10:30	2			austin	Shimadzu	Benzodiazepine
α-Hydroxyalprazolam	20.0	0.05		FB08SEP18	10:30	2			austin	Shimadzu	Benzodiazepine
α-Hydroxytriazolam	20.0	0.05		FB08SEP18	10:30	2			austin	Shimadzu	Benzodiazepine
Alprazolam	20.0	0.05		FB08SEP18	10:30	2			austin	Shimadzu	Benzodiazepine
Desalkylflurazepam	2.5	0.05		FB08SEP18	10:30	2			austin	Shimadzu	Benzodiazepine
Diazepam	5.0	0.05		FB08SEP18	10:30	2			austin	Shimadzu	Benzodiazepine
Flurazepam	20.0	1.25		FB08SEP18	10:30	2			austin	Shimadzu	Benzodiazepine
Lorazepam	20.0	0.05		FB08SEP18	10:30	2			austin	Shimadzu	Benzodiazepine
Midazolam	20.0	0.5		FB08SEP18	10:30	2			austin	Shimadzu	Benzodiazepine
Nordiazepam	20.0	0.05		FB08SEP18	10:30	2			austin	Shimadzu	Benzodiazepine
Oxazepam	2.5	0.05		FB08SEP18	10:30	2			austin	Shimadzu	Benzodiazepine
Temazepam	20.0	0.05		FB08SEP18	10:30	2			austin	Shimadzu	Benzodiazepine
Pseudoephedrine	20.0	0.05		FB08SEP18	10:30	2			austin	Shimadzu	Decongestant
Flunitrazepam	5.0	0.05		FB08SEP18	10:30	2			austin	Shimadzu	Hynotics
Carisoprodol	10.0	0.05		FB08SEP18	10:30	2			austin	Shimadzu	Muscle Relaxant
Cyclobenzaprine	20.0	1.25		FB08SEP18	10:30	2			austin	Shimadzu	Muscle Relaxant
6-MAM	5.0	0.05		FB08SEP18	10:30	2			austin	Shimadzu	Narcotic
Carfentanil	10.0	0.75		FB08SEP18	10:30	2			austin	Shimadzu	Narcotic
Codeine	20.0	0.05		FB08SEP18	10:30	2			austin	Shimadzu	Narcotic
EDDP	10.0	0.75	0.608	FB08SEP18	10:30	2	1.0	0.0	austin	Shimadzu	Narcotic
Fentanyl	20.0	0.5		FB08SEP18	10:30	2			austin	Shimadzu	Narcotic
Morphine	20.0	0.05		FB08SEP18	10:30	2			austin	Shimadzu	Narcotic
Naloxone	5.0	0.05		FB08SEP18	10:30	2			austin	Shimadzu	Narcotic
Norbuprenorphine	10.0	0.05		FB08SEP18	10:30	2			austin	Shimadzu	Narcotic
Norcarfentanil	10.0	0.05		FB08SEP18	10:30	2			austin	Shimadzu	Narcotic
Norfentanyl	5.0	0.05		FB08SEP18	10:30	2			austin	Shimadzu	Narcotic
Norhydrocodone	5.0	0.05	0.046	FB08SEP18	10:30	2	1.0	0.0	austin	Shimadzu	Narcotic
Normeperidine	20.0	0.5		FB08SEP18	10:30	2			austin	Shimadzu	Narcotic
Noroxycodone	5.0	0.05	0.0	FB08SEP18	10:30	2	1.0	0.0	austin	Shimadzu	Narcotic
O-Desmethyltramadol	10.0	0.5		FB08SEP18	10:30	2			austin	Shimadzu	Narcotic
Oxycodone	20.0	0.05		FB08SEP18	10:30	2			austin	Shimadzu	Narcotic
Oxymorphone	20.0	0.05		FB08SEP18	10:30	2			austin	Shimadzu	Narcotic
Sufentanil	10.0	0.5		FB08SEP18	10:30	2			austin	Shimadzu	Narcotic
Tapentadol	20.0	0.05		FB08SEP18	10:30	2			austin	Shimadzu	Narcotic
Tramadol	20.0	0.05		FB08SEP18	10:30	2			austin	Shimadzu	Narcotic
Buprenorphine	20.0	0.75		FB08SEP18	10:30	2			austin	Shimadzu	Opioid
Hydrocodone	2.5	0.05	0.266	FB08SEP18	10:30	2	0.0	0.0	austin	Shimadzu	Opioid
Hydromorphone	20.0	0.5		FB08SEP18	10:30	2			austin	Shimadzu	Opioid
Meperidine	20.0	0.5		FB08SEP18	10:30	2			austin	Shimadzu	Opioid
Methadone	20.0	2.5		FB08SEP18	10:30	2			austin	Shimadzu	Opioid
Naltrexone	5.0	0.05		FB08SEP18	10:30	2			austin	Shimadzu	Opioid
Trazodone	20.0	0.5		FB08SEP18	10:30	2			austin	Shimadzu	Sedative
Triazolam	20.0	0.5		FB08SEP18	10:30	2			austin	Shimadzu	Sedative
Zolpidem	20.0	0.5		FB08SEP18	10:30	2			austin	Shimadzu	Sedative
Amphetamine	5.0	0.05	0.777	FB08SEP18	10:30	2	0.0	0.0	austin	Shimadzu	Stimulant
Benzoylecgonine	20.0	0.05	0.071	FB08SEP18	10:30	2	0.0	0.0	austin	Shimadzu	Stimulant
Cocaine	20.0	0.15		FB08SEP18	10:30	2			austin	Shimadzu	Stimulant
MDMA	10.0	0.05	0.09	FB08SEP18	10:30	2	0.0	0.0	austin	Shimadzu	Stimulant
Methamphetamine	20.0	0.15		FB08SEP18	10:30	2			austin	Shimadzu	Stimulant
Methylphenidate	5.0	0.05		FB08SEP18	10:30	2			austin	Shimadzu	Stimulant
Propoxyphene	20.0	0.5		FB08SEP18	10:30	3			austin	Shimadzu	Analgesic
Ketamine	10.0	0.05		FB08SEP18	10:30	3			austin	Shimadzu	Anesthetic
PCP	20.0	0.5		FB08SEP18	10:30	3			austin	Shimadzu	Anesthetic
Phentermine	5.0	0.05		FB08SEP18	10:30	3			austin	Shimadzu	Anorectic
Meprobamate	20.0	0.5		FB08SEP18	10:30	3			austin	Shimadzu	Anxiolytic
7-Aminoclonazepam	5.0	0.05		FB08SEP18	10:30	3			austin	Shimadzu	Benzodiazepine
7-Aminoflunitrazepam	5.0	0.05		FB08SEP18	10:30	3			austin	Shimadzu	Benzodiazepine
α-Hydroxyalprazolam	20.0	0.05		FB08SEP18	10:30	3			austin	Shimadzu	Benzodiazepine
α-Hydroxytriazolam	20.0	0.05		FB08SEP18	10:30	3			austin	Shimadzu	Benzodiazepine
