metabolite	uloq	lloq	value	date	time_pretty	location	below_lloq	above_uloq	extraction	machine
Antidepressant and Sedative	20	0.5		FB08SEP18	10:00	3			austin	Shimadzu
Anxiolytic	20	0.5		FB08SEP18	10:00	3			austin	Shimadzu
Benzodiazepine	5	0.05		FB08SEP18	10:00	3			austin	Shimadzu
Benzodiazepine or metabolite of Benzodiazepines	2.5	0.05		FB08SEP18	10:00	3			austin	Shimadzu
CNS stimulant	20	0.15		FB08SEP18	10:00	3			austin	Shimadzu
Decongestant	20	0.05		FB08SEP18	10:00	3			austin	Shimadzu
Hallucinogen/Stimulant	10	0.05		FB08SEP18	10:00	3			austin	Shimadzu
Hynotics	5	0.05		FB08SEP18	10:00	3			austin	Shimadzu
Metabolite of Benzodiazepam	20	0.05		FB08SEP18	10:00	3			austin	Shimadzu
Metabolite of CNS stimulant	20	0.05	0.763	FB08SEP18	10:00	3	0	0	austin	Shimadzu
Metabolite of Narcotic	10	0.75		FB08SEP18	10:00	3			austin	Shimadzu
Metabolite of a Narcotic	5	0.05		FB08SEP18	10:00	3			austin	Shimadzu
Metabolite of narcotic	10	0.05		FB08SEP18	10:00	3			austin	Shimadzu
Metabolite of opioid	5	0.05	0.023	FB08SEP18	10:00	3	1	0	austin	Shimadzu
Muscle Relaxant	10	0.05		FB08SEP18	10:00	3			austin	Shimadzu
Narcotic	20	0.05	0.074	FB08SEP18	10:00	3	0	0	austin	Shimadzu
Narcotic (New Psychoactive Susbstance)	10	0.75		FB08SEP18	10:00	3			austin	Shimadzu
Opioid	2.5	0.05	0.209	FB08SEP18	10:00	3	0	0	austin	Shimadzu
Sedative	20	0.5		FB08SEP18	10:00	3			austin	Shimadzu
Stimulant	5	0.05	0.299	FB08SEP18	10:00	3	0	0	austin	Shimadzu
Analgesic	20	0.5		FB08SEP18	10:00	1			austin	Waters_SPE1
Anesthetic	10	0.05		FB08SEP18	10:00	1			austin	Waters_SPE1
Anorectic	5	0.05	2.258	FB08SEP18	10:00	1	0	0	austin	Waters_SPE1
Antidepressant and Sedative	20	0.5	0.312	FB08SEP18	10:00	1	1	0	austin	Waters_SPE1
Anxiolytic	20	0.5		FB08SEP18	10:00	1			austin	Waters_SPE1
Benzodiazepine	5	0.05		FB08SEP18	10:00	1			austin	Waters_SPE1
Benzodiazepine or metabolite of Benzodiazepines	2.5	0.05		FB08SEP18	10:00	1			austin	Waters_SPE1
CNS stimulant	20	0.15	0.809	FB08SEP18	10:00	1	0	0	austin	Waters_SPE1
Decongestant	20	0.05	1.778	FB08SEP18	10:00	1	0	0	austin	Waters_SPE1
Hallucinogen/Stimulant	10	0.05		FB08SEP18	10:00	1			austin	Waters_SPE1
Hynotics	5	0.05		FB08SEP18	10:00	1			austin	Waters_SPE1
Metabolite of Benzodiazepam	20	0.05		FB08SEP18	10:00	1			austin	Waters_SPE1
Metabolite of CNS stimulant	20	0.05	0.602	FB08SEP18	10:00	1	0	0	austin	Waters_SPE1
Metabolite of Narcotic	10	0.75		FB08SEP18	10:00	1			austin	Waters_SPE1
Metabolite of a Narcotic	5	0.05		FB08SEP18	10:00	1			austin	Waters_SPE1
Metabolite of narcotic	10	0.05		FB08SEP18	10:00	1			austin	Waters_SPE1
Metabolite of opioid	5	0.05	0.067	FB08SEP18	10:00	1	0	0	austin	Waters_SPE1
Muscle Relaxant	10	0.05		FB08SEP18	10:00	1			austin	Waters_SPE1
Narcotic	20	0.05		FB08SEP18	10:00	1			austin	Waters_SPE1
Narcotic (New Psychoactive Susbstance)	10	0.75		FB08SEP18	10:00	1			austin	Waters_SPE1
Opioid	2.5	0.05	0.297	FB08SEP18	10:00	1	0	0	austin	Waters_SPE1
Sedative	20	0.5		FB08SEP18	10:00	1			austin	Waters_SPE1
Stimulant	5	0.05	2.207	FB08SEP18	10:00	1	0	0	austin	Waters_SPE1
Analgesic	20	0.5		FB08SEP18	10:00	2			austin	Waters_SPE1
Anesthetic	10	0.05	0.274	FB08SEP18	10:00	2	0	0	austin	Waters_SPE1
Anorectic	5	0.05	3.246	FB08SEP18	10:00	2	0	0	austin	Waters_SPE1
Antidepressant and Sedative	20	0.5	0.336	FB08SEP18	10:00	2	1	0	austin	Waters_SPE1
Anxiolytic	20	0.5		FB08SEP18	10:00	2			austin	Waters_SPE1
Benzodiazepine	20	0.05	0.169	FB08SEP18	10:00	2	0	0	austin	Waters_SPE1
Benzodiazepine or metabolite of Benzodiazepines	2.5	0.05		FB08SEP18	10:00	2			austin	Waters_SPE1
CNS stimulant	20	0.15	0.442	FB08SEP18	10:00	2	0	0	austin	Waters_SPE1
Decongestant	20	0.05	13.014	FB08SEP18	10:00	2	0	0	austin	Waters_SPE1
Hallucinogen/Stimulant	10	0.05	1.317	FB08SEP18	10:00	2	0	0	austin	Waters_SPE1
Hynotics	5	0.05		FB08SEP18	10:00	2			austin	Waters_SPE1
Metabolite of Benzodiazepam	20	0.05		FB08SEP18	10:00	2			austin	Waters_SPE1
Metabolite of CNS stimulant	20	0.05	0.446	FB08SEP18	10:00	2	0	0	austin	Waters_SPE1
Metabolite of Narcotic	10	0.75		FB08SEP18	10:00	2			austin	Waters_SPE1
Metabolite of a Narcotic	5	0.05		FB08SEP18	10:00	2			austin	Waters_SPE1
Metabolite of narcotic	10	0.05		FB08SEP18	10:00	2			austin	Waters_SPE1
Metabolite of opioid	5	0.05	0.183	FB08SEP18	10:00	2	0	0	austin	Waters_SPE1
Muscle Relaxant	10	0.05		FB08SEP18	10:00	2			austin	Waters_SPE1
Narcotic	20	0.05	0.155	FB08SEP18	10:00	2	0	0	austin	Waters_SPE1
Narcotic (New Psychoactive Susbstance)	10	0.75		FB08SEP18	10:00	2			austin	Waters_SPE1
Opioid	2.5	0.05	0.266	FB08SEP18	10:00	2	0	0	austin	Waters_SPE1
Sedative	20	0.5		FB08SEP18	10:00	2			austin	Waters_SPE1
Stimulant	5	0.05	3.468	FB08SEP18	10:00	2	0	0	austin	Waters_SPE1
Analgesic	20	0.5		FB08SEP18	10:00	3			austin	Waters_SPE1
Anesthetic	10	0.05		FB08SEP18	10:00	3			austin	Waters_SPE1
Anorectic	5	0.05	1.503	FB08SEP18	10:00	3	0	0	austin	Waters_SPE1
Antidepressant and Sedative	20	0.5	0.356	FB08SEP18	10:00	3	1	0	austin	Waters_SPE1
Anxiolytic	20	0.5		FB08SEP18	10:00	3			austin	Waters_SPE1
Benzodiazepine	5	0.05		FB08SEP18	10:00	3			austin	Waters_SPE1
Benzodiazepine or metabolite of Benzodiazepines	2.5	0.05		FB08SEP18	10:00	3			austin	Waters_SPE1
CNS stimulant	20	0.15	2.654	FB08SEP18	10:00	3	0	0	austin	Waters_SPE1
Decongestant	20	0.05	61.946	FB08SEP18	10:00	3	0	1	austin	Waters_SPE1
Hallucinogen/Stimulant	10	0.05		FB08SEP18	10:00	3			austin	Waters_SPE1
Hynotics	5	0.05		FB08SEP18	10:00	3			austin	Waters_SPE1
Metabolite of Benzodiazepam	20	0.05		FB08SEP18	10:00	3			austin	Waters_SPE1
Metabolite of CNS stimulant	20	0.05	0.788	FB08SEP18	10:00	3	0	0	austin	Waters_SPE1
Metabolite of Narcotic	10	0.75		FB08SEP18	10:00	3			austin	Waters_SPE1
Metabolite of a Narcotic	5	0.05		FB08SEP18	10:00	3			austin	Waters_SPE1
Metabolite of narcotic	10	0.5	0.557	FB08SEP18	10:00	3	0	0	austin	Waters_SPE1
Metabolite of opioid	5	0.05	0.052	FB08SEP18	10:00	3	0	0	austin	Waters_SPE1
Muscle Relaxant	10	0.05		FB08SEP18	10:00	3			austin	Waters_SPE1
Narcotic	20	0.05	0.051	FB08SEP18	10:00	3	0	0	austin	Waters_SPE1
Narcotic (New Psychoactive Susbstance)	10	0.75		FB08SEP18	10:00	3			austin	Waters_SPE1
Opioid	2.5	0.05	0.151	FB08SEP18	10:00	3	0	0	austin	Waters_SPE1
Sedative	20	0.5		FB08SEP18	10:00	3			austin	Waters_SPE1
Stimulant	5	0.05	0.334	FB08SEP18	10:00	3	0	0	austin	Waters_SPE1
Analgesic	20	0.5		FB08SEP18	10:00	1			zach	Waters_SPE2
Anesthetic	10	0.05		FB08SEP18	10:00	1			zach	Waters_SPE2
Anorectic	5	0.05	1.79	FB08SEP18	10:00	1	0	0	zach	Waters_SPE2
Antidepressant and Sedative	20	0.5	0.05	FB08SEP18	10:00	1	1	0	zach	Waters_SPE2
Anxiolytic	20	0.5		FB08SEP18	10:00	1			zach	Waters_SPE2
Benzodiazepine	5	0.05		FB08SEP18	10:00	1			zach	Waters_SPE2
Benzodiazepine or metabolite of Benzodiazepines	2.5	0.05		FB08SEP18	10:00	1			zach	Waters_SPE2
CNS stimulant	20	0.15	0.62	FB08SEP18	10:00	1	0	0	zach	Waters_SPE2
Decongestant	20	0.05	1.42	FB08SEP18	10:00	1	0	0	zach	Waters_SPE2
Hallucinogen/Stimulant	10	0.05		FB08SEP18	10:00	1			zach	Waters_SPE2
Hynotics	5	0.05		FB08SEP18	10:00	1			zach	Waters_SPE2
Metabolite of Benzodiazepam	20	0.05		FB08SEP18	10:00	1			zach	Waters_SPE2
Metabolite of CNS stimulant	20	0.05	0.49	FB08SEP18	10:00	1	0	0	zach	Waters_SPE2
Metabolite of Narcotic	10	0.75		FB08SEP18	10:00	1			zach	Waters_SPE2
Metabolite of a Narcotic	5	0.05		FB08SEP18	10:00	1			zach	Waters_SPE2
Metabolite of narcotic	10	0.05		FB08SEP18	10:00	1			zach	Waters_SPE2
Metabolite of opioid	5	0.05	0.09	FB08SEP18	10:00	1	0	0	zach	Waters_SPE2
Muscle Relaxant	10	0.05		FB08SEP18	10:00	1			zach	Waters_SPE2
Narcotic	20	0.05		FB08SEP18	10:00	1			zach	Waters_SPE2
Narcotic (New Psychoactive Susbstance)	10	0.75		FB08SEP18	10:00	1			zach	Waters_SPE2
Opioid	2.5	0.05	0.24	FB08SEP18	10:00	1	0	0	zach	Waters_SPE2
Sedative	20	0.5		FB08SEP18	10:00	1			zach	Waters_SPE2
Stimulant	5	0.05	2.09	FB08SEP18	10:00	1	0	0	zach	Waters_SPE2
Analgesic	20	0.5		FB08SEP18	10:00	2			zach	Waters_SPE2
Anesthetic	10	0.05	0.29	FB08SEP18	10:00	2	0	0	zach	Waters_SPE2
Anorectic	5	0.05	3.62	FB08SEP18	10:00	2	0	0	zach	Waters_SPE2
Antidepressant and Sedative	20	0.5	0.07	FB08SEP18	10:00	2	1	0	zach	Waters_SPE2
Anxiolytic	20	0.5	0.51	FB08SEP18	10:00	2	0	0	zach	Waters_SPE2
Benzodiazepine	20	0.05	0.011	FB08SEP18	10:00	2	1	0	zach	Waters_SPE2
Benzodiazepine or metabolite of Benzodiazepines	2.5	0.05		FB08SEP18	10:00	2			zach	Waters_SPE2
CNS stimulant	20	0.15	0.52	FB08SEP18	10:00	2	0	0	zach	Waters_SPE2
Decongestant	20	0.05	16.47	FB08SEP18	10:00	2	0	0	zach	Waters_SPE2
Hallucinogen/Stimulant	10	0.05	2.58	FB08SEP18	10:00	2	0	1	zach	Waters_SPE2
Hynotics	5	0.05		FB08SEP18	10:00	2			zach	Waters_SPE2
Metabolite of Benzodiazepam	20	0.05		FB08SEP18	10:00	2			zach	Waters_SPE2
Metabolite of CNS stimulant	20	0.05	0.49	FB08SEP18	10:00	2	0	0	zach	Waters_SPE2
Metabolite of Narcotic	10	0.75		FB08SEP18	10:00	2			zach	Waters_SPE2
Metabolite of a Narcotic	5	0.05		FB08SEP18	10:00	2			zach	Waters_SPE2
Metabolite of narcotic	10	0.05		FB08SEP18	10:00	2			zach	Waters_SPE2
Metabolite of opioid	5	0.05	0.28	FB08SEP18	10:00	2	0	0	zach	Waters_SPE2
Muscle Relaxant	10	0.05		FB08SEP18	10:00	2			zach	Waters_SPE2
Narcotic	20	0.05	0.09	FB08SEP18	10:00	2	0	0	zach	Waters_SPE2
Narcotic (New Psychoactive Susbstance)	10	0.75		FB08SEP18	10:00	2			zach	Waters_SPE2
Opioid	2.5	0.05	0.25	FB08SEP18	10:00	2	0	0	zach	Waters_SPE2
Sedative	20	0.5		FB08SEP18	10:00	2			zach	Waters_SPE2
Stimulant	5	0.05	5.21	FB08SEP18	10:00	2	0	1	zach	Waters_SPE2
Analgesic	20	0.5		FB08SEP18	10:00	3			zach	Waters_SPE2
Anesthetic	10	0.05		FB08SEP18	10:00	3			zach	Waters_SPE2
Anorectic	5	0.05	1.37	FB08SEP18	10:00	3	0	0	zach	Waters_SPE2
Antidepressant and Sedative	20	0.5	0.09	FB08SEP18	10:00	3	1	0	zach	Waters_SPE2
Anxiolytic	20	0.5		FB08SEP18	10:00	3			zach	Waters_SPE2
Benzodiazepine	5	0.05		FB08SEP18	10:00	3			zach	Waters_SPE2
Benzodiazepine or metabolite of Benzodiazepines	2.5	0.05		FB08SEP18	10:00	3			zach	Waters_SPE2
CNS stimulant	20	0.15	2.29	FB08SEP18	10:00	3	0	0	zach	Waters_SPE2
Decongestant	20	0.05	74.08	FB08SEP18	10:00	3	0	1	zach	Waters_SPE2
Hallucinogen/Stimulant	10	0.05		FB08SEP18	10:00	3			zach	Waters_SPE2
Hynotics	5	0.05		FB08SEP18	10:00	3			zach	Waters_SPE2
Metabolite of Benzodiazepam	20	0.05		FB08SEP18	10:00	3			zach	Waters_SPE2
Metabolite of CNS stimulant	20	0.05	0.91	FB08SEP18	10:00	3	0	0	zach	Waters_SPE2
Metabolite of Narcotic	10	0.75		FB08SEP18	10:00	3			zach	Waters_SPE2
Metabolite of a Narcotic	5	0.05		FB08SEP18	10:00	3			zach	Waters_SPE2
Metabolite of narcotic	10	0.5	0.617	FB08SEP18	10:00	3	0	0	zach	Waters_SPE2
Metabolite of opioid	5	0.05	0.07	FB08SEP18	10:00	3	0	0	zach	Waters_SPE2
Muscle Relaxant	10	0.05		FB08SEP18	10:00	3			zach	Waters_SPE2
Narcotic	20	0.05	1.86	FB08SEP18	10:00	3	0	0	zach	Waters_SPE2
Narcotic (New Psychoactive Susbstance)	10	0.75		FB08SEP18	10:00	3			zach	Waters_SPE2
Opioid	2.5	0.05	0.1	FB08SEP18	10:00	3	0	0	zach	Waters_SPE2
Sedative	20	0.5		FB08SEP18	10:00	3			zach	Waters_SPE2
Stimulant	5	0.05		FB08SEP18	10:00	3			zach	Waters_SPE2
Analgesic	20	0.5		FB08SEP18	10:30	1			austin	Shimadzu
Anesthetic	10	0.05		FB08SEP18	10:30	1			austin	Shimadzu
Anorectic	5	0.05		FB08SEP18	10:30	1			austin	Shimadzu
Antidepressant and Sedative	20	0.5		FB08SEP18	10:30	1			austin	Shimadzu
Anxiolytic	20	0.5		FB08SEP18	10:30	1			austin	Shimadzu
Benzodiazepine	5	0.05		FB08SEP18	10:30	1			austin	Shimadzu
Benzodiazepine or metabolite of Benzodiazepines	2.5	0.05		FB08SEP18	10:30	1			austin	Shimadzu
CNS stimulant	20	0.15		FB08SEP18	10:30	1			austin	Shimadzu
Decongestant	20	0.05		FB08SEP18	10:30	1			austin	Shimadzu
Hallucinogen/Stimulant	10	0.05		FB08SEP18	10:30	1			austin	Shimadzu
Hynotics	5	0.05		FB08SEP18	10:30	1			austin	Shimadzu
Metabolite of Benzodiazepam	20	0.05		FB08SEP18	10:30	1			austin	Shimadzu
Metabolite of CNS stimulant	20	0.05	2.426	FB08SEP18	10:30	1	0	0	austin	Shimadzu
Metabolite of Narcotic	10	0.75		FB08SEP18	10:30	1			austin	Shimadzu
Metabolite of a Narcotic	5	0.05		FB08SEP18	10:30	1			austin	Shimadzu
Metabolite of narcotic	10	0.05		FB08SEP18	10:30	1			austin	Shimadzu
Metabolite of opioid	10	0.05		FB08SEP18	10:30	1			austin	Shimadzu
Muscle Relaxant	10	0.05		FB08SEP18	10:30	1			austin	Shimadzu
Narcotic	20	0.05	0.157	FB08SEP18	10:30	1	0	0	austin	Shimadzu
Narcotic (New Psychoactive Susbstance)	10	0.75		FB08SEP18	10:30	1			austin	Shimadzu
Opioid	2.5	0.05	0.055	FB08SEP18	10:30	1	0	0	austin	Shimadzu
Sedative	20	0.5		FB08SEP18	10:30	1			austin	Shimadzu
Stimulant	5	0.05	0.267	FB08SEP18	10:30	1	0	0	austin	Shimadzu
Analgesic	20	0.5		FB08SEP18	10:30	2			austin	Shimadzu
Anesthetic	10	0.05		FB08SEP18	10:30	2			austin	Shimadzu
Anorectic	5	0.05		FB08SEP18	10:30	2			austin	Shimadzu
Antidepressant and Sedative	20	0.5		FB08SEP18	10:30	2			austin	Shimadzu
Anxiolytic	20	0.5		FB08SEP18	10:30	2			austin	Shimadzu
Benzodiazepine	5	0.05		FB08SEP18	10:30	2			austin	Shimadzu
Benzodiazepine or metabolite of Benzodiazepines	2.5	0.05		FB08SEP18	10:30	2			austin	Shimadzu
CNS stimulant	20	0.15		FB08SEP18	10:30	2			austin	Shimadzu
Decongestant	20	0.05		FB08SEP18	10:30	2			austin	Shimadzu
Hallucinogen/Stimulant	10	0.05	0.09	FB08SEP18	10:30	2	0	0	austin	Shimadzu
Hynotics	5	0.05		FB08SEP18	10:30	2			austin	Shimadzu
Metabolite of Benzodiazepam	20	0.05		FB08SEP18	10:30	2			austin	Shimadzu
Metabolite of CNS stimulant	20	0.05	0.071	FB08SEP18	10:30	2	0	0	austin	Shimadzu
Metabolite of Narcotic	10	0.75	0.608	FB08SEP18	10:30	2	1	0	austin	Shimadzu
Metabolite of a Narcotic	5	0.05		FB08SEP18	10:30	2			austin	Shimadzu
Metabolite of narcotic	10	0.05		FB08SEP18	10:30	2			austin	Shimadzu
Metabolite of opioid	5	0.05	0.046	FB08SEP18	10:30	2	1	0	austin	Shimadzu
Muscle Relaxant	10	0.05		FB08SEP18	10:30	2			austin	Shimadzu
Narcotic	20	0.05		FB08SEP18	10:30	2			austin	Shimadzu
Narcotic (New Psychoactive Susbstance)	10	0.75		FB08SEP18	10:30	2			austin	Shimadzu
Opioid	2.5	0.05	0.266	FB08SEP18	10:30	2	0	0	austin	Shimadzu
Sedative	20	0.5		FB08SEP18	10:30	2			austin	Shimadzu
Stimulant	5	0.05	0.777	FB08SEP18	10:30	2	0	0	austin	Shimadzu
Analgesic	20	0.5		FB08SEP18	10:30	3			austin	Shimadzu
Anesthetic	10	0.05		FB08SEP18	10:30	3			austin	Shimadzu
Anorectic	5	0.05		FB08SEP18	10:30	3			austin	Shimadzu
Antidepressant and Sedative	20	0.5		FB08SEP18	10:30	3			austin	Shimadzu
Anxiolytic	20	0.5		FB08SEP18	10:30	3			austin	Shimadzu
Benzodiazepine	5	0.05		FB08SEP18	10:30	3			austin	Shimadzu
Benzodiazepine or metabolite of Benzodiazepines	2.5	0.05		FB08SEP18	10:30	3			austin	Shimadzu
CNS stimulant	20	0.15		FB08SEP18	10:30	3			austin	Shimadzu
Decongestant	20	0.05		FB08SEP18	10:30	3			austin	Shimadzu
Hallucinogen/Stimulant	10	0.05		FB08SEP18	10:30	3			austin	Shimadzu
Hynotics	5	0.05		FB08SEP18	10:30	3			austin	Shimadzu
Metabolite of Benzodiazepam	20	0.05		FB08SEP18	10:30	3			austin	Shimadzu
Metabolite of CNS stimulant	20	0.05	4.764	FB08SEP18	10:30	3	0	1	austin	Shimadzu
Metabolite of Narcotic	10	0.75		FB08SEP18	10:30	3			austin	Shimadzu
Metabolite of a Narcotic	5	0.05		FB08SEP18	10:30	3			austin	Shimadzu
Metabolite of narcotic	10	0.05		FB08SEP18	10:30	3			austin	Shimadzu
Metabolite of opioid	10	0.05		FB08SEP18	10:30	3			austin	Shimadzu
Muscle Relaxant	10	0.05		FB08SEP18	10:30	3			austin	Shimadzu
Narcotic	20	0.05	0.588	FB08SEP18	10:30	3	0	0	austin	Shimadzu
Narcotic (New Psychoactive Susbstance)	10	0.75		FB08SEP18	10:30	3			austin	Shimadzu
Opioid	20	0.75		FB08SEP18	10:30	3			austin	Shimadzu
Sedative	20	0.5		FB08SEP18	10:30	3			austin	Shimadzu
Stimulant	5	0.05	2.365	FB08SEP18	10:30	3	0	0	austin	Shimadzu
Analgesic	20	0.5		FB08SEP18	10:30	1			austin	Waters_SPE1
Anesthetic	10	0.05		FB08SEP18	10:30	1			austin	Waters_SPE1
Anorectic	5	0.05	0.06	FB08SEP18	10:30	1	0	0	austin	Waters_SPE1
Antidepressant and Sedative	20	0.5		FB08SEP18	10:30	1			austin	Waters_SPE1
Anxiolytic	20	0.5		FB08SEP18	10:30	1			austin	Waters_SPE1
Benzodiazepine	5	0.05		FB08SEP18	10:30	1			austin	Waters_SPE1
Benzodiazepine or metabolite of Benzodiazepines	2.5	0.05		FB08SEP18	10:30	1			austin	Waters_SPE1
CNS stimulant	20	0.15	10.933	FB08SEP18	10:30	1	0	0	austin	Waters_SPE1
Decongestant	20	0.05	7.603	FB08SEP18	10:30	1	0	1	austin	Waters_SPE1
Hallucinogen/Stimulant	10	0.05		FB08SEP18	10:30	1			austin	Waters_SPE1
Hynotics	5	0.05		FB08SEP18	10:30	1			austin	Waters_SPE1
Metabolite of Benzodiazepam	20	0.05		FB08SEP18	10:30	1			austin	Waters_SPE1
Metabolite of CNS stimulant	20	0.05	2.611	FB08SEP18	10:30	1	0	0	austin	Waters_SPE1
Metabolite of Narcotic	10	0.75		FB08SEP18	10:30	1			austin	Waters_SPE1
Metabolite of a Narcotic	5	0.05		FB08SEP18	10:30	1			austin	Waters_SPE1
Metabolite of narcotic	10	0.5	0.884	FB08SEP18	10:30	1	0	0	austin	Waters_SPE1
Metabolite of opioid	10	0.05		FB08SEP18	10:30	1			austin	Waters_SPE1
Muscle Relaxant	10	0.05		FB08SEP18	10:30	1			austin	Waters_SPE1
Narcotic	20	0.05	0.175	FB08SEP18	10:30	1	0	0	austin	Waters_SPE1
Narcotic (New Psychoactive Susbstance)	10	0.75		FB08SEP18	10:30	1			austin	Waters_SPE1
Opioid	2.5	0.05	0.034	FB08SEP18	10:30	1	1	0	austin	Waters_SPE1
Sedative	20	0.5		FB08SEP18	10:30	1			austin	Waters_SPE1
Stimulant	5	0.05	0.34	FB08SEP18	10:30	1	0	0	austin	Waters_SPE1
Analgesic	20	0.5		FB08SEP18	10:30	2			austin	Waters_SPE1
Anesthetic	10	0.05		FB08SEP18	10:30	2			austin	Waters_SPE1
Anorectic	5	0.05	0.349	FB08SEP18	10:30	2	0	0	austin	Waters_SPE1
Antidepressant and Sedative	20	0.5		FB08SEP18	10:30	2			austin	Waters_SPE1
Anxiolytic	20	0.5		FB08SEP18	10:30	2			austin	Waters_SPE1
Benzodiazepine	5	0.05		FB08SEP18	10:30	2			austin	Waters_SPE1
Benzodiazepine or metabolite of Benzodiazepines	2.5	0.05		FB08SEP18	10:30	2			austin	Waters_SPE1
CNS stimulant	20	0.15		FB08SEP18	10:30	2			austin	Waters_SPE1
Decongestant	20	0.05	8.088	FB08SEP18	10:30	2	0	1	austin	Waters_SPE1
Hallucinogen/Stimulant	10	0.05	0.058	FB08SEP18	10:30	2	0	0	austin	Waters_SPE1
Hynotics	5	0.05		FB08SEP18	10:30	2			austin	Waters_SPE1
Metabolite of Benzodiazepam	20	0.05		FB08SEP18	10:30	2			austin	Waters_SPE1
Metabolite of CNS stimulant	20	0.05	0.074	FB08SEP18	10:30	2	0	0	austin	Waters_SPE1
Metabolite of Narcotic	10	0.75	0.706	FB08SEP18	10:30	2	1	0	austin	Waters_SPE1
Metabolite of a Narcotic	5	0.05		FB08SEP18	10:30	2			austin	Waters_SPE1
Metabolite of narcotic	10	0.05		FB08SEP18	10:30	2			austin	Waters_SPE1
